"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:10:00";"2013-04-15 08:10:01";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:01";"2013-04-15 08:10:03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:03";"2013-04-15 08:10:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:04";"2013-04-15 08:10:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:06";"2013-04-15 08:10:07";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:07";"2013-04-15 08:10:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:09";"2013-04-15 08:10:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:10";"2013-04-15 08:10:12";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:12";"2013-04-15 08:10:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:13";"2013-04-15 08:10:15";94.9;0;94.9;94.9;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:15";"2013-04-15 08:10:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:16";"2013-04-15 08:10:18";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:18";"2013-04-15 08:10:19";92.7;0;92.7;92.7;16.2;0;16.2;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:19";"2013-04-15 08:10:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:21";"2013-04-15 08:10:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:22";"2013-04-15 08:10:24";;;;;;;;;;;;;;;;;87;0;87;87;15.3;0;15.3;15.3;13.9;0;13.9;13.9;;;;;;;;
"2013-04-15 08:10:24";"2013-04-15 08:10:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:25";"2013-04-15 08:10:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:27";"2013-04-15 08:10:28";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:28";"2013-04-15 08:10:30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:30";"2013-04-15 08:10:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:31";"2013-04-15 08:10:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:33";"2013-04-15 08:10:34";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:34";"2013-04-15 08:10:36";86.8;0;86.8;86.8;15.6;0;15.6;15.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:36";"2013-04-15 08:10:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:37";"2013-04-15 08:10:39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:39";"2013-04-15 08:10:40";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:40";"2013-04-15 08:10:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:42";"2013-04-15 08:10:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:43";"2013-04-15 08:10:45";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:45";"2013-04-15 08:10:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:46";"2013-04-15 08:10:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:48";"2013-04-15 08:10:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:49";"2013-04-15 08:10:51";;;;;;;;;;;;;;;;;88;0;88;88;15.3;0;15.3;15.3;14;0;14;14;;;;;;;;
"2013-04-15 08:10:51";"2013-04-15 08:10:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:52";"2013-04-15 08:10:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:54";"2013-04-15 08:10:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:55";"2013-04-15 08:10:57";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:57";"2013-04-15 08:10:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:10:58";"2013-04-15 08:11:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:00";"2013-04-15 08:11:01";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:01";"2013-04-15 08:11:03";94.9;0;94.9;94.9;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:03";"2013-04-15 08:11:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:04";"2013-04-15 08:11:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:06";"2013-04-15 08:11:07";92.7;0;92.7;92.7;16.3;0;16.3;16.3;;;;;;;;;87;0;87;87;15.4;0;15.4;15.4;14;0;14;14;;;;;;;;
"2013-04-15 08:11:07";"2013-04-15 08:11:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:09";"2013-04-15 08:11:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:10";"2013-04-15 08:11:12";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:12";"2013-04-15 08:11:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:13";"2013-04-15 08:11:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:15";"2013-04-15 08:11:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:16";"2013-04-15 08:11:18";;;;;;;;;;;;;;;;;88;0;88;88;15.4;0;15.4;15.4;14.1;0;14.1;14.1;;;;;;;;
"2013-04-15 08:11:18";"2013-04-15 08:11:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:19";"2013-04-15 08:11:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:21";"2013-04-15 08:11:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:22";"2013-04-15 08:11:24";86.8;0;86.8;86.8;15.7;0;15.7;15.7;;;;;;;;;87;0;87;87;15.5;0;15.5;15.5;14.1;0;14.1;14.1;;;;;;;;
"2013-04-15 08:11:24";"2013-04-15 08:11:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:25";"2013-04-15 08:11:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:27";"2013-04-15 08:11:28";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:28";"2013-04-15 08:11:30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:30";"2013-04-15 08:11:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:31";"2013-04-15 08:11:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:33";"2013-04-15 08:11:34";86.6;0;86.6;86.6;15.7;0;15.7;15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:34";"2013-04-15 08:11:36";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:36";"2013-04-15 08:11:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:37";"2013-04-15 08:11:39";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:39";"2013-04-15 08:11:40";86.5;0;86.5;86.5;15.7;0;15.7;15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:40";"2013-04-15 08:11:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:42";"2013-04-15 08:11:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:43";"2013-04-15 08:11:45";86.6;0;86.6;86.6;15.7;0;15.7;15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:45";"2013-04-15 08:11:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:46";"2013-04-15 08:11:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:48";"2013-04-15 08:11:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:49";"2013-04-15 08:11:51";86.8;0;86.8;86.8;15.7;0;15.7;15.7;;;;;;;;;87;0;87;87;15.6;0;15.6;15.6;14.2;0;14.2;14.2;;;;;;;;
"2013-04-15 08:11:51";"2013-04-15 08:11:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:52";"2013-04-15 08:11:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:54";"2013-04-15 08:11:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:55";"2013-04-15 08:11:57";95;0;95;95;16.1;0;16.1;16.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:11:57";"2013-04-15 08:11:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
