"dia";"hora";"marly/003/humidity";"marly/003/temperature"
"2013-05-16";"10:34:35";71.4;18.4
"2013-05-16";"10:33:30";69.5;18.4
"2013-05-16";"10:32:25";72.9;18.4
"2013-05-16";"10:32:03";76.5;15
"2013-05-16";"10:31:20";71.9;18.4
"2013-05-16";"10:30:59";74.7;14.9
"2013-05-16";"10:30:15";69.6;18.5
"2013-05-16";"10:29:54";74.6;14.7
"2013-05-16";"10:29:11";70.6;18.6
"2013-05-16";"10:28:49";72.6;14.7
"2013-05-16";"10:28:06";73.4;18.7
"2013-05-16";"10:27:44";75;14.8
"2013-05-16";"10:27:01";70.6;18.8
"2013-05-16";"10:26:40";74.5;14.8
"2013-05-16";"10:18:01";72.1;15.3
"2013-05-16";"10:12:32";;
"2013-05-16";"10:04:24";;
"2013-05-16";"10:04:19";;
"2013-05-16";"10:03:03";;
