"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-05-02";"23:49:28";86.4;11.5
"2013-05-02";"23:49:01";92.1;12.1
"2013-05-02";"23:48:56";92.1;12
"2013-05-02";"23:48:50";92.1;12.1
"2013-05-02";"23:48:23";92.1;12
"2013-05-02";"23:48:06";92.1;12.1
"2013-05-02";"23:48:01";92.1;12
"2013-05-02";"23:47:39";86.4;11.4
"2013-05-02";"23:46:44";92.1;12.1
"2013-05-02";"23:46:39";92.1;12.1
"2013-05-02";"23:46:17";86.4;11.3
"2013-05-02";"22:58:24";86.6;12.3
"2013-05-02";"22:57:19";92.2;12.6
"2013-05-02";"22:55:57";94.6;13
"2013-05-02";"22:55:41";92.2;12.5
"2013-05-02";"22:54:29";86.6;12.2
"2013-05-02";"22:53:41";94.6;12.9
"2013-05-02";"22:52:51";86.6;12.3
"2013-05-02";"22:52:35";92.2;12.6
"2013-05-02";"22:52:08";94.6;13
"2013-05-02";"22:47:46";86.6;12.3
"2013-05-02";"22:47:30";92.2;12.6
"2013-05-02";"22:47:02";94.6;13
"2013-05-02";"22:39:28";86.6;12.2
"2013-05-02";"22:39:12";94.6;12.9
"2013-05-02";"22:38:12";92.2;12.7
"2013-05-02";"22:34:28";86.6;12.2
"2013-05-02";"22:34:12";94.6;12.9
"2013-05-02";"22:33:11";92.2;12.7
"2013-05-02";"22:32:11";94.6;13
"2013-05-02";"22:29:27";86.6;12.2
"2013-05-02";"22:28:11";92.2;12.7
"2013-05-02";"22:27:11";94.6;13
"2013-05-02";"22:25:44";86.6;12.3
"2013-05-02";"21:53:21";86.6;12.5
"2013-05-02";"21:51:49";92.2;12.8
"2013-05-02";"21:50:11";94.6;13
"2013-05-02";"21:49:48";86.6;12.4
"2013-05-02";"21:47:54";94.6;12.9
"2013-05-02";"21:47:16";92.2;12.7
"2013-05-02";"21:47:10";86.6;12.3
"2013-05-02";"21:46:59";86.6;12.4
"2013-05-02";"21:46:26";94.6;13
"2013-05-02";"21:29:36";86.6;12.6
"2013-05-02";"21:29:31";92.2;12.7
"2013-05-02";"21:27:26";94.6;13
"2013-05-02";"20:34:24";86.6;12.6
"2013-05-02";"20:33:40";86.5;12.6
"2013-05-02";"20:33:18";94.6;12.7
"2013-05-02";"20:32:50";86.5;12.5
"2013-05-02";"20:31:40";94.6;12.6
"2013-05-02";"20:31:39";92.1;12.4
"2013-05-02";"20:31:07";86.5;12.4
"2013-05-02";"20:24:55";86.5;12.3
"2013-05-02";"20:24:12";92.1;12.3
"2013-05-02";"20:24:00";86.5;12.2
"2013-05-02";"20:23:28";94.5;12.4
"2013-05-02";"20:23:17";92.1;12.2
"2013-05-02";"20:23:06";86.5;12.1
"2013-05-02";"20:22:33";86.5;12
"2013-05-02";"20:22:28";94.5;12.3
"2013-05-02";"20:21:27";86.5;11.9
"2013-05-02";"20:21:16";86.4;11.9
"2013-05-02";"20:20:11";86.4;11.8
"2013-05-02";"20:18:49";86.4;11.7
"2013-05-02";"20:18:16";92.1;12.2
"2013-05-02";"20:17:38";94.5;12.2
"2013-05-02";"20:17:21";86.4;11.6
"2013-05-02";"20:16:43";86.4;11.5
"2013-05-02";"20:15:16";94.5;12.1
"2013-05-02";"20:08:10";86.4;11.6
"2013-05-02";"20:06:21";94.5;12.2
"2013-05-02";"20:05:15";92.1;12.3
"2013-05-02";"19:44:56";86.4;11.7
"2013-05-02";"19:43:23";92.1;12.1
"2013-05-02";"19:42:51";92.2;12.1
"2013-05-02";"19:42:45";86.4;11.6
"2013-05-02";"19:41:56";94.5;12.3
"2013-05-02";"19:41:23";94.5;12.4
"2013-05-02";"19:41:17";86.4;11.5
"2013-05-02";"18:59:23";86.5;11.8
"2013-05-02";"18:57:56";94.6;12.5
"2013-05-02";"18:57:12";92.2;12.5
"2013-05-02";"18:55:45";94.6;12.6
"2013-05-02";"18:55:34";92.2;12.6
"2013-05-02";"18:55:12";86.5;11.7
"2013-05-02";"18:48:38";86.5;12
"2013-05-02";"18:47:28";94.6;13
"2013-05-02";"18:46:38";86.5;12.1
"2013-05-02";"18:46:33";92.3;12.9
"2013-05-02";"18:46:27";86.5;12.2
"2013-05-02";"18:44:33";86.6;12.2
"2013-05-02";"18:44:17";94.6;12.9
"2013-05-02";"18:42:00";92.3;13
"2013-05-02";"18:41:49";86.6;12.3
"2013-05-02";"18:39:54";86.6;12.4
"2013-05-02";"18:39:49";94.6;13
"2013-05-02";"18:39:21";86.6;12.5
"2013-05-02";"18:37:54";94.7;13
"2013-05-02";"18:36:59";92.3;13
"2013-05-02";"18:35:43";94.7;13.1
"2013-05-02";"18:34:16";86.6;12.5
"2013-05-02";"18:31:59";92.3;13
"2013-05-02";"18:30:48";86.6;12.6
"2013-05-02";"18:30:43";94.7;13.1
"2013-05-02";"18:28:21";86.6;12.5
"2013-05-02";"18:27:54";94.7;13.2
"2013-05-02";"18:26:59";92.3;13
"2013-05-02";"18:26:04";92.3;13.1
"2013-05-02";"18:24:53";86.6;12.6
"2013-05-02";"18:23:37";94.7;13.3
"2013-05-02";"18:22:15";94.7;13.4
"2013-05-02";"18:21:31";86.6;12.7
"2013-05-02";"18:21:04";92.3;13.1
"2013-05-02";"17:59:33";86.7;13.2
"2013-05-02";"17:59:28";86.7;13.2
"2013-05-02";"17:58:22";94.8;14.3
"2013-05-02";"17:57:49";92.4;13.9
"2013-05-02";"17:57:17";92.3;13.9
"2013-05-02";"17:57:00";94.8;14.4
"2013-05-02";"17:56:55";92.2;13.9
"2013-05-02";"17:56:38";92.3;13.9
"2013-05-02";"17:56:00";94.8;14.5
"2013-05-02";"17:55:43";92.4;13.9
"2013-05-02";"17:23:26";;
"2013-05-02";"17:22:40";;
"2013-05-02";"17:22:23";;
"2013-05-02";"17:20:52";;
"2013-05-02";"14:29:57";69.8;18.2
"2013-05-02";"14:29:52";70.5;18.2
"2013-05-02";"14:29:46";71.2;18.2
"2013-05-02";"14:29:40";71.6;18.2
"2013-05-02";"14:29:35";74.5;19.4
"2013-05-02";"14:29:34";72.4;19.4
"2013-05-02";"14:29:29";71.7;18.2
"2013-05-02";"14:29:23";71.7;18.1
"2013-05-02";"14:29:18";74.6;19.4
"2013-05-02";"14:29:17";71.5;18.1
"2013-05-02";"14:29:12";71.2;18.1
"2013-05-02";"14:29:06";70.7;18.1
"2013-05-02";"14:29:01";73.2;19.4
"2013-05-02";"14:29:00";70.3;18.1
"2013-05-02";"14:28:55";69.9;18.1
"2013-05-02";"14:28:49";70;18.1
"2013-05-02";"14:28:43";70.1;18.1
"2013-05-02";"14:28:38";69.2;18.1
"2013-05-02";"14:28:32";69.1;18.1
"2013-05-02";"14:28:27";73.7;19.5
"2013-05-02";"14:28:26";69.7;18.1
"2013-05-02";"14:28:21";70.6;18.1
"2013-05-02";"14:28:15";71.2;18.1
"2013-05-02";"14:28:10";71.6;19.4
"2013-05-02";"14:28:09";70.9;18.1
"2013-05-02";"14:28:04";71;18.1
"2013-05-02";"14:27:58";71.6;18
"2013-05-02";"14:27:53";72.9;18
"2013-05-02";"14:27:47";73.5;18
"2013-05-02";"14:27:41";72.9;18
"2013-05-02";"14:27:35";71.3;18
"2013-05-02";"14:27:30";75;19.6
"2013-05-02";"14:27:29";70.7;18
"2013-05-02";"14:27:24";71.1;17.9
"2013-05-02";"14:27:18";71.6;17.9
"2013-05-02";"14:27:12";72.9;17.9
"2013-05-02";"14:27:07";73;17.9
"2013-05-02";"14:27:01";71.9;17.9
"2013-05-02";"14:26:55";72.9;19.4
"2013-05-02";"14:26:50";71.5;17.9
"2013-05-02";"14:26:44";71.7;17.9
"2013-05-02";"14:26:38";72.3;17.8
"2013-05-02";"14:26:33";72.5;17.8
"2013-05-02";"14:26:27";72.1;17.8
"2013-05-02";"14:26:22";75;19.6
"2013-05-02";"14:26:21";72;17.8
"2013-05-02";"14:26:16";71.6;17.8
"2013-05-02";"14:26:10";72;17.8
"2013-05-02";"14:26:05";75.8;19.6
"2013-05-02";"14:26:04";73.1;17.8
"2013-05-02";"14:09:54";76.2;16.6
"2013-05-02";"14:09:49";78.9;18.4
"2013-05-02";"14:09:48";76.7;16.6
"2013-05-02";"14:09:43";76.9;16.6
"2013-05-02";"14:09:37";76.7;16.6
"2013-05-02";"14:09:32";76.5;16.6
"2013-05-02";"14:09:26";76.3;16.6
"2013-05-02";"14:09:21";73.2;18.9
"2013-05-02";"14:09:15";76.1;16.6
"2013-05-02";"14:09:09";75.8;16.6
"2013-05-02";"14:09:04";73.5;18.9
"2013-05-02";"14:09:03";75.7;16.6
"2013-05-02";"14:08:58";75.5;16.6
"2013-05-02";"14:08:52";75;16.6
"2013-05-02";"14:08:47";74.9;16.6
"2013-05-02";"14:08:41";75.1;16.7
"2013-05-02";"14:08:36";79;18.3
"2013-05-02";"14:08:35";74.9;16.7
"2013-05-02";"14:08:30";74.4;16.7
"2013-05-02";"14:08:24";73.9;16.7
"2013-05-02";"14:08:19";74.4;16.7
