"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2013-01-01 00:00:00";"2013-01-02 03:18:00";;;;;;;;
"2013-01-02 03:18:00";"2013-01-03 06:36:00";;;;;;;;
"2013-01-03 06:36:00";"2013-01-04 09:54:00";;;;;;;;
"2013-01-04 09:54:00";"2013-01-05 13:12:00";;;;;;;;
"2013-01-05 13:12:00";"2013-01-06 16:30:00";;;;;;;;
"2013-01-06 16:30:00";"2013-01-07 19:48:00";;;;;;;;
"2013-01-07 19:48:00";"2013-01-08 23:06:00";;;;;;;;
"2013-01-08 23:06:00";"2013-01-10 02:24:00";;;;;;;;
"2013-01-10 02:24:00";"2013-01-11 05:42:00";;;;;;;;
"2013-01-11 05:42:00";"2013-01-12 09:00:00";;;;;;;;
"2013-01-12 09:00:00";"2013-01-13 12:18:00";;;;;;;;
"2013-01-13 12:18:00";"2013-01-14 15:36:00";;;;;;;;
"2013-01-14 15:36:00";"2013-01-15 18:54:00";;;;;;;;
"2013-01-15 18:54:00";"2013-01-16 22:12:00";;;;;;;;
"2013-01-16 22:12:00";"2013-01-18 01:30:00";;;;;;;;
"2013-01-18 01:30:00";"2013-01-19 04:48:00";;;;;;;;
"2013-01-19 04:48:00";"2013-01-20 08:06:00";;;;;;;;
"2013-01-20 08:06:00";"2013-01-21 11:24:00";;;;;;;;
"2013-01-21 11:24:00";"2013-01-22 14:42:00";;;;;;;;
"2013-01-22 14:42:00";"2013-01-23 18:00:00";;;;;;;;
"2013-01-23 18:00:00";"2013-01-24 21:18:00";;;;;;;;
"2013-01-24 21:18:00";"2013-01-26 00:36:00";;;;;;;;
"2013-01-26 00:36:00";"2013-01-27 03:54:00";;;;;;;;
"2013-01-27 03:54:00";"2013-01-28 07:12:00";;;;;;;;
"2013-01-28 07:12:00";"2013-01-29 10:30:00";;;;;;;;
"2013-01-29 10:30:00";"2013-01-30 13:48:00";;;;;;;;
"2013-01-30 13:48:00";"2013-01-31 17:06:00";;;;;;;;
"2013-01-31 17:06:00";"2013-02-01 20:24:00";;;;;;;;
"2013-02-01 20:24:00";"2013-02-02 23:42:00";;;;;;;;
"2013-02-02 23:42:00";"2013-02-04 03:00:00";;;;;;;;
"2013-02-04 03:00:00";"2013-02-05 06:18:00";;;;;;;;
"2013-02-05 06:18:00";"2013-02-06 09:36:00";;;;;;;;
"2013-02-06 09:36:00";"2013-02-07 12:54:00";;;;;;;;
"2013-02-07 12:54:00";"2013-02-08 16:12:00";;;;;;;;
"2013-02-08 16:12:00";"2013-02-09 19:30:00";;;;;;;;
"2013-02-09 19:30:00";"2013-02-10 22:48:00";;;;;;;;
"2013-02-10 22:48:00";"2013-02-12 02:06:00";;;;;;;;
"2013-02-12 02:06:00";"2013-02-13 05:24:00";;;;;;;;
"2013-02-13 05:24:00";"2013-02-14 08:42:00";;;;;;;;
"2013-02-14 08:42:00";"2013-02-15 12:00:00";;;;;;;;
"2013-02-15 12:00:00";"2013-02-16 15:18:00";;;;;;;;
"2013-02-16 15:18:00";"2013-02-17 18:36:00";;;;;;;;
"2013-02-17 18:36:00";"2013-02-18 21:54:00";;;;;;;;
"2013-02-18 21:54:00";"2013-02-20 01:12:00";54.57056;7.19667;38.7;70;23.3692;2.39733;20.3;29.1
"2013-02-20 01:12:00";"2013-02-21 04:30:00";55.27835;15.91975;29.8;79.9;24.56134;5.11691;17.3;33.8
"2013-02-21 04:30:00";"2013-02-22 07:48:00";;;;;;;;
"2013-02-22 07:48:00";"2013-02-23 11:06:00";;;;;;;;
"2013-02-23 11:06:00";"2013-02-24 14:24:00";64.39394;3.38083;55.4;71.8;21.59883;0.9065;20;23.8
"2013-02-24 14:24:00";"2013-02-25 17:42:00";71.66832;10.5017;51.9;92.7;19.82925;2.58257;10.7;25.1
"2013-02-25 17:42:00";"2013-02-26 21:00:00";82.07136;9.61124;63.5;92.7;17.48846;1.79572;14.8;21.8
"2013-02-26 21:00:00";"2013-02-28 00:18:00";70.9408;12.90913;39.9;93.1;19.7466;4.38244;7.3;30.2
"2013-02-28 00:18:00";"2013-03-01 03:36:00";72.63865;13.48804;49.4;93;19.31736;4.00629;9.3;27.4
"2013-03-01 03:36:00";"2013-03-02 06:54:00";74.28517;11.15982;47.9;92.6;19.49146;3.5397;10;28.3
"2013-03-02 06:54:00";"2013-03-03 10:12:00";;;;;;;;
"2013-03-03 10:12:00";"2013-03-04 13:30:00";;;;;;;;
"2013-03-04 13:30:00";"2013-03-05 16:48:00";67.51667;5.69561;52.3;83.6;20.79524;1.30602;18.8;24.5
"2013-03-05 16:48:00";"2013-03-06 20:06:00";77.4372;17.25218;36.8;92.5;17.31463;5.92616;10.3;31.2
"2013-03-06 20:06:00";"2013-03-07 23:24:00";81.18862;17.06687;33.5;92.6;16.19877;6.31737;10;33
"2013-03-07 23:24:00";"2013-03-09 02:42:00";80.50336;15.9666;40.4;92.7;14.81254;6.44289;6.4;30.9
"2013-03-09 02:42:00";"2013-03-10 06:00:00";83.74262;10.45458;60.1;92.6;14.90928;4.76256;8.9;25
"2013-03-10 06:00:00";"2013-03-11 09:18:00";;;;;;;;
"2013-03-11 09:18:00";"2013-03-12 12:36:00";84.87976;9.66701;59.3;92.6;15.25595;4.06001;9.8;23.8
"2013-03-12 12:36:00";"2013-03-13 15:54:00";81.96667;14.08736;43.2;92.6;15.75494;5.80958;7.3;30
"2013-03-13 15:54:00";"2013-03-14 19:12:00";79.39356;14.49164;42.2;92.7;16.57761;6.46699;7.1;30.9
"2013-03-14 19:12:00";"2013-03-15 22:30:00";87.36719;5.56471;73.9;92.7;15.04297;3.09305;9.7;20.6
"2013-03-15 22:30:00";"2013-03-17 01:48:00";;;;;;;;
"2013-03-17 01:48:00";"2013-03-18 05:06:00";;;;;;;;
"2013-03-18 05:06:00";"2013-03-19 08:24:00";84.06295;14.06521;35.7;92.8;16.4241;5.04211;12;32.2
"2013-03-19 08:24:00";"2013-03-20 11:42:00";83.24665;12.36672;43.8;92.7;15.91738;5.37249;9.5;32.3
"2013-03-20 11:42:00";"2013-03-21 15:00:00";78.20393;15.45425;43.1;92.6;18.44357;5.98977;10.6;32.4
"2013-03-21 15:00:00";"2013-03-22 18:18:00";85.82561;11.53618;46.9;92.7;15.46799;4.22074;11.5;27.9
"2013-03-22 18:18:00";"2013-03-23 21:36:00";86.0082;11.64016;49.5;92.7;13.67129;5.03908;7.9;25.9
