"dia","hora","sanpedro/002/humidity","sanpedro/002/temperature","sanpedro/003/humidity","sanpedro/003/temperature","sanpedro/004/humidity","sanpedro/004/temp_dry","sanpedro/004/temp_wet","sanpedro/005/humidity","sanpedro/005/temperature"
"2013-04-01","21:54:50",,,86.1,8.7,,,,,
"2013-04-01","21:54:45",,,86.1,8.8,,,,,
"2013-04-01","21:54:39",,,86.1,8.7,,,,,
"2013-04-01","21:54:29",,,86.1,8.8,,,,,
"2013-04-01","21:54:23",,,86.1,8.7,,,,,
"2013-04-01","21:53:30",,,91.9,10.5,,,,,
"2013-04-01","21:53:24",,,94.4,10.5,,,,,
"2013-04-01","21:51:53",,,86.1,8.8,,,,,
"2013-04-01","21:51:16",,,,,100,10.3,10.3,,
"2013-04-01","21:49:56",,,86.1,8.9,,,,,
"2013-04-01","21:49:51",,,94.4,10.6,,,,,
"2013-04-01","21:48:52",,,94.4,10.7,,,,,
"2013-04-01","21:48:36",,,86.1,9,,,,,
"2013-04-01","21:48:25",,,91.9,10.5,,,,,
"2013-04-01","21:48:09",,,94.4,10.6,,,,,
"2013-04-01","21:46:11",,,,,100,10.3,10.3,,
"2013-04-01","21:46:06",,,,,,,,,
"2013-04-01","21:45:55",,,,,101,10.3,10.4,,
"2013-04-01","21:45:39",,,86.1,8.9,,,,,
"2013-04-01","21:45:12",,,91.9,10.4,,,,,
"2013-04-01","21:45:07",,,91.9,10.5,,,,,
"2013-04-01","21:43:04",,,,,,,,94.4,10.6
"2013-04-01","21:40:56",,,,,100,10.4,10.4,,
"2013-04-01","21:40:51",,,,,,,,,
"2013-04-01","21:40:34",,,,,,,,86.1,8.9
"2013-04-01","21:40:08",,,,,101,10.4,10.5,,
"2013-04-01","21:40:02",,,,,,,,91.9,10.5
"2013-04-01","21:38:00",,,,,,,,94.4,10.6
"2013-04-01","21:36:29",,,,,,,,86.1,9
"2013-04-01","21:36:18",,,,,,,,91.9,10.6
"2013-04-01","21:35:46",,,,,100,10.5,10.5,,
"2013-04-01","21:35:41",,,,,,,,,
"2013-04-01","21:34:36",,,,,,,,91.9,10.7
"2013-04-01","21:34:15",,,,,101,10.4,10.5,,
"2013-04-01","21:33:43",,,,,100,10.5,10.5,,
"2013-04-01","21:33:05",,,,,,,,94.4,10.8
"2013-04-01","21:33:00",,,,,,,,86.1,9.1
"2013-04-01","21:33:00",,,,,99,10.6,10.5,,
