"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-04-27";"07:31:33";;
"2013-04-27";"07:31:05";;
"2013-04-27";"07:27:51";;
"2013-04-27";"06:49:33";86.1;9.6
"2013-04-27";"06:49:28";91.9;10.1
"2013-04-27";"06:48:55";86.1;9.5
"2013-04-27";"06:48:16";86.1;9.4
"2013-04-27";"06:48:11";91.9;9.9
"2013-04-27";"06:48:05";91.8;9.9
"2013-04-27";"06:47:55";94.4;11.2
"2013-04-27";"06:47:21";91.8;9.8
"2013-04-27";"06:47:16";94.4;11.1
"2013-04-27";"06:47:05";86.1;9.3
"2013-04-27";"06:46:43";91.8;9.7
"2013-04-27";"06:46:38";94.4;11
"2013-04-27";"06:46:26";86;9.2
"2013-04-27";"06:45:53";86;9.1
"2013-04-27";"06:45:15";91.8;9.5
"2013-04-27";"06:45:09";86;9
"2013-04-27";"06:29:36";85.8;7.5
"2013-04-27";"06:29:25";94.1;8.9
"2013-04-27";"06:28:58";91.6;7.9
"2013-04-27";"06:28:36";94.1;8.8
"2013-04-27";"06:28:25";85.8;7.4
"2013-04-27";"06:28:03";91.6;7.8
"2013-04-27";"06:27:52";85.8;7.3
"2013-04-27";"06:27:41";91.5;7.8
"2013-04-27";"06:27:13";85.8;7.2
"2013-04-27";"06:26:46";94.1;8.7
"2013-04-27";"06:26:35";85.8;7.1
"2013-04-27";"06:26:18";94.1;8.6
"2013-04-27";"06:25:56";85.8;7
"2013-04-27";"06:25:51";94;8.6
"2013-04-27";"06:25:45";85.7;7
"2013-04-27";"06:25:23";91.5;7.6
"2013-04-27";"06:25:17";85.7;6.9
"2013-04-27";"06:14:58";85.6;5.7
"2013-04-27";"06:14:42";85.6;5.6
"2013-04-27";"06:14:15";94;7.5
"2013-04-27";"06:12:20";94;7.4
"2013-04-27";"06:11:58";94;7.3
"2013-04-27";"06:11:31";93.9;7.3
"2013-04-27";"06:11:30";91.5;7.1
"2013-04-27";"06:11:08";93.9;7.2
"2013-04-27";"06:09:41";85.6;5.6
"2013-04-27";"06:09:35";85.6;5.5
"2013-04-27";"06:09:30";85.6;5.6
"2013-04-27";"06:09:13";93.9;7.1
"2013-04-27";"06:06:29";91.5;7.1
"2013-04-27";"06:05:56";85.6;5.5
"2013-04-27";"06:05:45";85.6;5.4
"2013-04-27";"06:05:40";85.6;5.5
"2013-04-27";"06:02:23";85.6;5.4
"2013-04-27";"06:02:07";91.5;7
"2013-04-27";"06:02:02";93.9;6.9
"2013-04-27";"06:00:29";91.5;6.9
"2013-04-27";"05:54:10";85.6;5.4
"2013-04-27";"05:54:05";85.6;5.5
"2013-04-27";"05:53:59";85.6;5.4
"2013-04-27";"05:53:54";85.6;5.5
"2013-04-27";"05:53:43";94;7.1
"2013-04-27";"05:53:42";85.6;5.4
"2013-04-27";"05:53:37";85.6;5.5
"2013-04-27";"05:53:31";85.6;5.4
"2013-04-27";"05:53:20";85.6;5.5
"2013-04-27";"05:53:15";85.6;5.4
"2013-04-27";"05:53:04";85.6;5.5
"2013-04-27";"05:52:58";85.6;5.4
"2013-04-27";"05:52:53";85.6;5.5
"2013-04-27";"05:52:42";85.6;5.4
"2013-04-27";"05:52:31";85.6;5.5
"2013-04-27";"05:50:14";94;7
"2013-04-27";"05:50:03";85.6;5.4
"2013-04-27";"05:49:52";85.6;5.5
"2013-04-27";"05:49:47";85.6;5.4
"2013-04-27";"05:49:41";91.5;6.3
"2013-04-27";"05:49:36";85.6;5.5
"2013-04-27";"05:49:30";85.6;5.4
"2013-04-27";"05:49:25";85.6;5.5
"2013-04-27";"05:49:14";85.6;5.4
"2013-04-27";"05:49:08";85.6;5.5
"2013-04-27";"05:48:57";85.6;5.4
"2013-04-27";"05:48:51";85.6;5.5
"2013-04-27";"05:48:46";85.6;5.4
"2013-04-27";"05:48:40";85.6;5.5
"2013-04-27";"05:48:35";85.6;5.4
"2013-04-27";"05:48:24";91.5;6.4
"2013-04-27";"05:46:24";85.6;5.5
"2013-04-27";"05:45:40";91.5;6.5
"2013-04-27";"05:19:05";85.6;5.7
"2013-04-27";"05:18:59";85.6;5.6
"2013-04-27";"05:18:48";85.6;5.7
"2013-04-27";"05:18:16";94;7.3
"2013-04-27";"05:17:10";94;7.2
"2013-04-27";"05:16:26";91.5;6.4
"2013-04-27";"04:44:34";85.6;5.6
"2013-04-27";"04:44:23";94;7.1
"2013-04-27";"04:43:50";91.5;7
"2013-04-27";"04:43:17";85.6;5.7
"2013-04-27";"04:43:12";85.6;5.6
"2013-04-27";"04:42:23";85.6;5.7
"2013-04-27";"04:42:17";85.6;5.6
"2013-04-27";"04:42:06";85.6;5.7
"2013-04-27";"04:40:22";91.5;7.1
"2013-04-27";"04:19:40";85.6;5.8
"2013-04-27";"04:19:35";85.6;5.7
"2013-04-27";"04:19:24";85.6;5.8
"2013-04-27";"04:18:02";85.6;5.7
"2013-04-27";"04:17:46";91.6;7.8
"2013-04-27";"04:15:45";85.6;5.8
"2013-04-27";"04:15:02";94;7.6
"2013-04-27";"03:54:32";85.7;6.6
"2013-04-27";"03:54:16";91.6;7.6
"2013-04-27";"03:53:27";85.7;6.7
"2013-04-27";"03:52:10";85.7;6.6
"2013-04-27";"03:51:54";94;7.8
"2013-04-27";"03:51:38";91.6;7.7
"2013-04-27";"03:51:21";85.7;6.5
"2013-04-27";"03:50:43";85.7;6.4
"2013-04-27";"03:50:27";94;7.9
"2013-04-27";"03:43:10";85.7;6.6
"2013-04-27";"03:42:15";91.6;7.8
"2013-04-27";"03:40:10";94.1;8
"2013-04-27";"03:33:09";85.7;6.6
"2013-04-27";"03:32:58";85.7;6.5
"2013-04-27";"03:32:47";85.7;6.6
"2013-04-27";"03:32:36";91.6;7.9
"2013-04-27";"03:32:09";91.7;7.9
"2013-04-27";"03:31:58";94.1;8.1
"2013-04-27";"03:31:25";91.7;8
"2013-04-27";"03:30:31";85.7;6.5
"2013-04-27";"03:27:25";85.7;6.6
"2013-04-27";"03:27:14";85.7;6.7
"2013-04-27";"03:27:09";85.7;6.6
"2013-04-27";"03:26:58";85.7;6.7
"2013-04-27";"03:26:52";85.7;6.6
"2013-04-27";"03:26:47";85.7;6.7
"2013-04-27";"03:26:25";85.7;6.6
"2013-04-27";"03:25:03";94.1;8.2
"2013-04-27";"02:44:21";85.8;6.8
"2013-04-27";"02:42:43";94.1;8.8
"2013-04-27";"02:42:10";85.8;6.9
"2013-04-27";"02:40:53";91.8;8.8
"2013-04-27";"02:40:20";85.8;7
"2013-04-27";"02:28:57";85.9;7.6
"2013-04-27";"02:28:13";94.2;9
"2013-04-27";"02:27:35";91.8;8.8
"2013-04-27";"02:24:56";85.9;7.5
"2013-04-27";"02:24:13";91.8;8.9
"2013-04-27";"02:23:13";94.2;9
"2013-04-27";"02:22:23";91.8;9
"2013-04-27";"02:21:29";94.2;9.1
"2013-04-27";"02:20:34";94.2;9.2
"2013-04-27";"02:19:56";85.9;7.5
"2013-04-27";"02:18:39";91.8;9.1
"2013-04-27";"02:16:07";91.8;9.2
"2013-04-27";"02:16:01";85.9;7.6
"2013-04-27";"02:15:34";94.2;9.2
"2013-04-27";"02:15:33";85.9;7.7
"2013-04-27";"02:04:44";85.9;7.9
"2013-04-27";"02:04:33";91.8;9.2
"2013-04-27";"02:03:27";85.9;7.8
"2013-04-27";"02:02:27";91.8;9.3
"2013-04-27";"02:02:22";94.2;9.5
"2013-04-27";"02:02:00";91.8;9.4
"2013-04-27";"02:01:27";85.9;7.9
"2013-04-27";"02:01:10";94.2;9.6
"2013-04-27";"01:39:40";86;8.4
"2013-04-27";"01:39:35";86;8.4
"2013-04-27";"01:38:41";94.3;10
"2013-04-27";"01:38:35";91.9;9.7
"2013-04-27";"01:37:02";94.3;10.1
"2013-04-27";"00:49:58";86.1;9.4
"2013-04-27";"00:49:09";92;10.4
"2013-04-27";"00:47:58";92;10.5
"2013-04-27";"00:46:52";94.4;10.7
"2013-04-27";"00:46:47";94.4;10.8
"2013-04-27";"00:46:14";92;10.6
"2013-04-27";"00:44:57";86.1;9.4
"2013-04-27";"00:42:30";86.1;9.5
"2013-04-27";"00:41:41";94.4;10.8
"2013-04-27";"00:41:08";92;10.6
"2013-04-27";"00:40:25";92;10.7
"2013-04-26";"23:59:55";86.3;10.5
"2013-04-26";"23:58:00";92.1;11.3
"2013-04-26";"23:57:43";86.3;10.6
"2013-04-26";"23:57:27";94.5;11.8
"2013-04-26";"23:56:05";94.6;11.8
"2013-04-26";"23:55:54";92.1;11.4
"2013-04-26";"23:55:27";86.3;10.7
"2013-04-26";"23:38:20";86.4;11.2
"2013-04-26";"23:36:04";92.1;11.4
"2013-04-26";"23:35:58";94.6;12.1
"2013-04-26";"23:33:15";86.4;11.2
"2013-04-26";"23:31:48";94.6;12.2
"2013-04-26";"23:30:58";92.1;11.4
"2013-04-26";"23:28:15";86.4;11.2
"2013-04-26";"23:26:48";94.6;12.2
"2013-04-26";"23:26:20";92.1;11.5
"2013-04-26";"23:23:09";86.4;11.2
"2013-04-26";"23:22:04";92.1;11.6
"2013-04-26";"23:21:48";94.6;12.2
"2013-04-26";"23:21:04";94.6;12.3
"2013-04-26";"23:18:09";86.4;11.2
"2013-04-26";"23:17:04";92.1;11.6
"2013-04-26";"23:16:04";94.6;12.3
"2013-04-26";"23:13:09";86.4;11.2
"2013-04-26";"23:12:03";92.1;11.6
"2013-04-26";"23:11:03";94.6;12.3
"2013-04-26";"22:29:58";85.3;11.6
"2013-04-26";"22:29:53";94.6;12.4
"2013-04-26";"22:29:52";85.2;11.6
"2013-04-26";"22:29:47";94.6;12.5
"2013-04-26";"22:29:41";85.1;11.6
"2013-04-26";"22:29:36";85;11.6
"2013-04-26";"22:29:30";89.5;11.8
"2013-04-26";"22:29:25";89.4;11.8
