"dia";"hora";"sanpedro/003/humidity";"sanpedro/003/temperature"
"2013-06-17";"23:44:32";86;8.4
"2013-06-17";"23:44:21";91.9;9.8
"2013-06-17";"23:43:10";94.3;10.2
"2013-06-17";"23:42:10";91.9;9.9
"2013-06-17";"23:41:43";94.3;10.1
"2013-06-17";"23:41:31";86;8.5
"2013-06-17";"23:41:26";86;8.6
"2013-06-17";"23:41:20";86.1;8.5
"2013-06-17";"23:34:03";86.1;8.8
"2013-06-17";"23:31:20";94.3;10.2
"2013-06-17";"23:30:47";86.1;8.9
"2013-06-17";"23:30:30";91.9;10.1
"2013-06-17";"23:29:14";86.1;8.8
"2013-06-17";"23:29:03";86.1;8.7
"2013-06-17";"23:28:30";91.9;10.2
"2013-06-17";"23:27:08";91.9;10.3
"2013-06-17";"23:26:19";94.3;10.2
"2013-06-17";"23:25:52";91.9;10.4
"2013-06-17";"23:25:19";91.9;10.5
"2013-06-17";"23:13:55";86.1;9
"2013-06-17";"23:12:34";94.4;10.5
"2013-06-17";"23:12:23";92;10.7
"2013-06-17";"23:11:55";86.1;9.1
"2013-06-17";"23:10:17";92;10.8
"2013-06-17";"23:10:12";92;10.7
"2013-06-17";"23:04:55";86.1;9.2
"2013-06-17";"23:04:50";92;10.8
"2013-06-17";"23:03:28";94.4;10.8
"2013-06-17";"23:02:44";86.1;9.3
"2013-06-17";"23:01:28";86.1;9.4
"2013-06-17";"23:01:11";92;10.7
"2013-06-17";"23:00:49";86.1;9.5
"2013-06-17";"23:00:33";94.4;10.9
"2013-06-17";"22:59:27";86.2;9.5
"2013-06-17";"22:58:55";92;10.8
"2013-06-17";"22:57:54";86.2;9.6
"2013-06-17";"22:57:43";94.4;11
"2013-06-17";"22:56:38";92;11
"2013-06-17";"22:54:54";86.2;9.7
"2013-06-17";"22:53:54";94.4;11.1
"2013-06-17";"22:53:05";86.2;9.8
"2013-06-17";"22:51:59";86.2;9.9
"2013-06-17";"22:29:36";86.2;9.9
"2013-06-17";"22:29:09";91.9;11
"2013-06-17";"22:25:58";94.4;11.1
"2013-06-17";"22:25:36";91.9;10.9
"2013-06-17";"22:24:36";86.2;9.9
"2013-06-17";"22:24:20";86.2;9.8
"2013-06-17";"22:22:52";91.9;10.8
"2013-06-17";"22:20:58";94.4;11.1
"2013-06-17";"22:20:14";91.9;10.7
"2013-06-17";"22:19:19";86.2;9.8
"2013-06-17";"22:18:46";86.2;9.7
"2013-06-17";"22:16:57";86.1;9.7
"2013-06-17";"22:16:03";91.9;10.7
"2013-06-17";"22:15:57";94.4;11.1
"2013-06-17";"22:13:35";86.1;9.6
"2013-06-17";"22:12:52";94.4;11
"2013-06-17";"22:11:52";94.4;10.9
"2013-06-17";"22:11:08";86.1;9.5
"2013-06-17";"22:11:03";91.9;10.7
"2013-06-17";"22:09:24";86.1;9.4
"2013-06-17";"22:07:13";91.9;10.6
"2013-06-17";"22:06:52";94.4;10.9
"2013-06-17";"22:06:24";86.1;9.3
"2013-06-17";"21:39:55";86.2;9.8
"2013-06-17";"21:39:34";94.4;11.1
"2013-06-17";"21:39:17";92;10.8
"2013-06-17";"21:39:01";94.4;11
"2013-06-17";"21:38:33";92;10.9
"2013-06-17";"21:37:06";92;10.8
"2013-06-17";"21:35:49";92;10.7
"2013-06-17";"21:34:55";86.2;9.8
"2013-06-17";"21:34:00";94.4;11
"2013-06-17";"21:33:27";92;10.8
"2013-06-17";"21:32:17";92;10.9
"2013-06-17";"21:29:55";86.2;9.8
"2013-06-17";"21:29:49";94.4;11.1
"2013-06-17";"21:29:06";94.5;11.1
"2013-06-17";"21:27:43";86.2;9.7
"2013-06-17";"21:27:16";92;10.9
"2013-06-17";"21:25:54";86.2;9.6
"2013-06-17";"21:25:00";86.2;9.5
"2013-06-17";"20:54:52";86.2;10
"2013-06-17";"20:54:42";94.5;11.7
"2013-06-17";"20:52:41";86.2;10.1
"2013-06-17";"20:51:09";92.1;11.8
"2013-06-17";"20:50:52";86.2;10.2
"2013-06-17";"20:49:47";86.2;10.3
"2013-06-17";"20:49:41";94.5;11.7
"2013-06-17";"20:49:19";92.1;11.9
"2013-06-17";"20:49:08";94.5;11.8
"2013-06-17";"20:45:30";92.1;12
"2013-06-17";"20:44:47";86.2;10.3
"2013-06-17";"20:44:14";86.2;10.2
"2013-06-17";"20:44:03";94.5;11.8
"2013-06-17";"20:43:41";86.3;10.2
"2013-06-17";"20:43:25";94.5;11.9
"2013-06-17";"20:40:30";92.1;12
"2013-06-17";"20:40:08";86.3;10.3
"2013-06-17";"20:24:45";86.3;10.7
"2013-06-17";"20:23:34";94.6;12.3
"2013-06-17";"20:22:01";86.3;10.8
